Breed,Fur Color,Height (in),Character Traits,Common Health Problems
Papillon,"White, Black, Sable, Red",8-11,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Pekingese,"Black, White, Red",6-9,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Toy Poodle,"White, Black, Brown, Apricot",10-11,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Miniature Poodle,"White, Black, Brown, Apricot",10-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Standard Poodle,"White, Black, Brown, Apricot",15-22,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Affenpinscher,"Black, Brown, Red",9-11,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Boston Terrier,"Black, White",15-17,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
Brussels Griffon,"Black, Red",7-10,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
Cairn Terrier,"Black, Wheaten, Red",10-12,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Chinese Crested,"Pink, White, Black",11-13,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Miniature Schnauzer,"Black, Salt & Pepper, White",12-14,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Standard Schnauzer,"Black, Salt & Pepper",18-20,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
West Highland White Terrier,White,11-12,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Terrier,"Red, Black & Tan",10-11,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Border Terrier,"Red, Wheaten, Black",10-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Coton de Tulear,White,9-11,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
English Toy Spaniel,"White, Blenheim",10-12,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Stumpy Tail Cattle Dog,"Red, Black",17-20,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pug,"Black, Fawn",10-14,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
American Eskimo Dog,White,15-19,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Cattle Dog,"Blue, Red",17-20,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Basset Hound,"Black, White, Red",11-15,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Australian Kelpie,"Red, Black",17-20,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Bloodhound,"Red, Black",22-27,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Border Collie,"Black, White, Red",18-22,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Shepherd,Blue Merle,20-23,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
American Bulldog,"White, Red",20-28,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Australian Shepherd,"Black, Red",18-23,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Borzoi,"White, Cream, Red",26-29,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Bull Terrier,"White, Red",20-22,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Cane Corso,"Black, Red",22-28,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Cardigan Welsh Corgi,"Red, Sable, Black",10-12,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Chesapeake Bay Retriever,"Brown, Tan",21-26,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Saluki,"Cream, Red",23-28,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
English Setter,"Liver, Blue",25-27,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Springer Spaniel,"Black, White, Liver",20-24,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Field Spaniel,"Black, Liver",15-18,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Finnish Spitz,"Red, Golden",15-20,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Flat-Coated Retriever,"Black, Liver",22-25,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Terrier,Red,10-11,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Giant Schnauzer,"Black, Salt & Pepper",25-28,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Golden Retriever,Gold,21-24,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,"Black, Tan",24-27,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,"Blue, Red",17-20,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Greyhound,"White, Black, Red",26-30,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Harrier,"Red, Black & Tan",18-21,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Setter,Red,26-28,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Terrier,Red,14-16,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Water Spaniel,Brown,21-24,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Wolfhound,"Grey, Red",30-35,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Italian Greyhound,"Red, Black",13-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Jack Russell Terrier,"White, Black & Tan",10-12,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Japanese Chin,"Black, Red",7-11,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Keeshond,"Black, Cream",17-19,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kerry Blue Terrier,Blue,17-19,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kuvasz,White,25-29,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Lhasa Apso,"Black, White",10-11,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Maltese,White,8-10,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Pinscher,"Red, Stag Red",10-12,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Samoyed,White,21-23,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Shetland Sheepdog,"Sable, Black",13-16,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Staffordshire Bull Terrier,"White, Black, Red",14-16,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Vizsla,Red,20-24,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Anatolian Shepherd,Fawn,27-29,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Welsh Corgi,"Red, Sable",10-12,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Springer Spaniel,"Liver, White",20-25,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Terrier,"Black, Tan",10-12,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
West Highland White Terrier,White,10-12,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Whippet,"White, Black, Red",18-22,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Wirehaired Pointing Griffon,"Brown, White",21-24,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Xoloitzcuintli,"Black, Red",10-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Yorkshire Terrier,Blue & Tan,7-8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Akita,"Red, Fawn, Sesame",24-28,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Africanis,"Brown, Red",22-25,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Basenji,"Red, Black & White",16-17,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Catahoula Leopard Dog,"Merle, Black",20-26,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Cocker Spaniel,"Black, Brown",14-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Shiba Inu,"Red, Sesame",13-16,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Belgian Tervuren,Fawn,22-26,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pharaoh Hound,Red,21-25,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
